Iteration,BestFitness
0,306.632000
1,283.198667
2,283.198667
3,247.448000
4,247.448000
5,247.448000
6,247.448000
7,247.448000
8,247.448000
9,247.448000
10,247.448000
11,247.448000
12,247.448000
13,247.448000
14,247.448000
15,247.448000
16,247.448000
17,247.448000
18,247.448000
19,247.448000
20,247.448000
21,247.448000
22,247.448000
23,247.448000
24,247.448000
25,247.448000
26,247.448000
27,247.448000
28,247.448000
29,247.448000
30,247.448000
31,247.448000
32,247.448000
33,247.448000
34,247.448000
35,247.448000
36,247.448000
37,247.448000
38,247.448000
39,247.448000
40,247.448000
41,247.448000
42,247.448000
43,247.448000
44,247.448000
45,247.448000
46,247.448000
47,247.448000
48,247.448000
49,247.448000
50,247.448000
51,247.448000
52,247.448000
53,247.448000
54,247.448000
55,247.448000
56,247.448000
57,247.448000
58,247.448000
59,247.448000
60,247.448000
61,247.448000
62,247.448000
63,247.448000
64,247.448000
65,247.448000
66,247.448000
67,247.448000
68,247.448000
69,247.448000
70,247.448000
71,247.448000
72,247.448000
73,247.448000
74,247.448000
75,247.448000
76,247.448000
77,247.448000
78,247.448000
79,247.448000
80,247.448000
81,247.448000
82,247.448000
83,247.448000
84,247.448000
85,247.448000
86,247.448000
87,247.448000
88,247.448000
89,247.448000
90,247.448000
91,247.448000
92,247.448000
93,247.448000
94,247.448000
95,247.448000
96,247.448000
97,247.448000
98,247.448000
99,247.448000
