Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio,ExecutionTime_ms
CBO,100,42,52577858053.5275,1.0277,942
LSCBO-Fixed,100,42,45189886622.4000,1.0127,911
HHO,100,42,44253638876.6387,1.0163,929
AOA,100,42,33506948656.5960,1.1985,817
GTO,100,42,33809757637.0496,1.0078,921
CBO,100,123,70712519440.4367,1.5202,826
LSCBO-Fixed,100,123,37820462369.9096,0.7140,853
HHO,100,123,38728889433.2011,0.8448,1280
AOA,100,123,95005369410.4307,1.6098,2174
GTO,100,123,53486284633.0040,1.1562,833
CBO,100,456,90994664
