Iteration,BestFitness
0,561.040000
1,561.040000
2,561.040000
3,561.040000
4,561.040000
5,561.040000
6,561.040000
7,561.040000
8,561.040000
9,561.040000
10,561.040000
11,561.040000
12,561.040000
13,561.040000
14,561.040000
15,561.040000
16,561.040000
17,561.040000
18,561.040000
19,561.040000
20,561.040000
21,561.040000
22,561.040000
23,561.040000
24,561.040000
25,561.040000
26,561.040000
27,561.040000
28,561.040000
29,561.040000
30,561.040000
31,561.040000
32,561.040000
33,561.040000
34,561.040000
35,561.040000
36,561.040000
37,556.192000
38,556.192000
39,556.192000
40,556.192000
41,556.192000
42,556.192000
43,556.192000
44,556.192000
45,556.192000
46,556.192000
47,556.192000
48,556.192000
49,556.192000
50,556.192000
51,556.192000
52,556.192000
53,556.192000
54,556.192000
55,556.192000
56,556.192000
57,556.192000
58,556.192000
59,556.192000
60,556.192000
61,556.192000
62,556.192000
63,556.192000
64,556.192000
65,556.192000
66,556.192000
67,556.192000
68,556.192000
69,556.192000
70,556.192000
71,556.192000
72,556.192000
73,556.192000
74,556.192000
75,556.192000
76,556.192000
77,556.192000
78,556.192000
79,556.192000
80,556.192000
81,556.192000
82,556.192000
83,556.192000
84,556.192000
85,556.192000
86,556.192000
87,556.192000
88,556.192000
89,556.192000
90,556.192000
91,556.192000
92,556.192000
93,556.192000
94,556.192000
95,533.718000
96,533.718000
97,533.718000
98,533.718000
99,533.718000
