Iteration,BestFitness
0,543.734000
1,543.734000
2,543.734000
3,543.734000
4,543.734000
5,543.734000
6,543.734000
7,543.734000
8,543.734000
9,543.734000
10,543.734000
11,543.734000
12,543.734000
13,543.734000
14,543.734000
15,543.734000
16,543.734000
17,543.734000
18,543.734000
19,543.734000
20,543.734000
21,543.734000
22,543.734000
23,543.734000
24,543.734000
25,543.734000
26,543.734000
27,543.734000
28,543.734000
29,543.734000
30,543.734000
31,543.734000
32,543.734000
33,543.734000
34,543.734000
35,543.734000
36,543.734000
37,543.734000
38,543.734000
39,543.734000
40,543.734000
41,543.734000
42,543.734000
43,543.734000
44,543.734000
45,543.734000
46,543.734000
47,543.734000
48,543.734000
49,543.734000
50,543.734000
51,543.734000
52,543.734000
53,543.734000
54,543.734000
55,543.734000
56,543.734000
57,543.734000
58,543.734000
59,543.734000
60,543.734000
61,543.734000
62,543.734000
63,543.734000
64,543.734000
65,543.734000
66,543.734000
67,543.734000
68,543.734000
69,543.734000
70,543.734000
71,543.734000
72,543.734000
73,543.734000
74,543.734000
75,543.734000
76,543.734000
77,543.734000
78,543.734000
79,543.734000
80,543.734000
81,543.734000
82,543.734000
83,543.734000
84,543.734000
85,543.734000
86,543.734000
87,543.734000
88,543.734000
89,543.734000
90,543.734000
91,543.734000
92,543.734000
93,543.734000
94,543.734000
95,543.734000
96,543.734000
97,543.734000
98,543.734000
99,543.734000
