Iteration,BestFitness
0,475.424000
1,475.424000
2,475.424000
3,475.424000
4,475.424000
5,475.424000
6,475.424000
7,475.424000
8,475.424000
9,475.424000
10,475.424000
11,475.424000
12,475.424000
13,475.424000
14,475.424000
15,475.424000
16,475.424000
17,475.424000
18,475.424000
19,475.424000
20,475.424000
21,475.424000
22,475.424000
23,475.424000
24,475.424000
25,475.424000
26,475.424000
27,475.424000
28,475.424000
29,475.424000
30,475.424000
31,475.424000
32,475.424000
33,475.424000
34,475.424000
35,475.424000
36,475.424000
37,475.424000
38,475.424000
39,475.424000
40,475.424000
41,475.424000
42,475.424000
43,475.424000
44,475.424000
45,475.424000
46,475.424000
47,475.424000
48,475.424000
49,475.424000
50,475.424000
51,475.424000
52,475.424000
53,475.424000
54,475.424000
55,475.424000
56,475.424000
57,475.424000
58,475.424000
59,475.424000
60,475.424000
61,475.424000
62,475.424000
63,475.424000
64,475.424000
65,475.424000
66,475.424000
67,475.424000
68,475.424000
69,475.424000
70,475.424000
71,475.424000
72,475.424000
73,475.424000
74,475.424000
75,475.424000
76,475.424000
77,475.424000
78,475.424000
79,475.424000
80,475.424000
81,475.424000
82,475.424000
83,475.424000
84,475.424000
85,475.424000
86,475.424000
87,475.424000
88,475.424000
89,475.424000
90,475.424000
91,475.424000
92,475.424000
93,475.424000
94,475.424000
95,475.424000
96,475.424000
97,475.424000
98,475.424000
99,475.424000
