Iteration,BestFitness
0,574.404000
1,574.404000
2,574.404000
3,574.404000
4,574.404000
5,574.404000
6,574.404000
7,574.404000
8,574.404000
9,574.404000
10,574.404000
11,574.404000
12,574.404000
13,574.404000
14,574.404000
15,574.404000
16,574.404000
17,574.404000
18,574.404000
19,574.404000
20,574.404000
21,574.404000
22,574.404000
23,574.404000
24,574.404000
25,574.404000
26,574.404000
27,574.404000
28,574.404000
29,574.404000
30,574.404000
31,574.404000
32,574.404000
33,574.404000
34,574.404000
35,574.404000
36,574.404000
37,574.404000
38,574.404000
39,574.404000
40,574.404000
41,574.404000
42,574.404000
43,574.404000
44,574.404000
45,574.404000
46,574.404000
47,574.404000
48,574.404000
49,574.404000
50,574.404000
51,574.404000
52,574.404000
53,574.404000
54,574.404000
55,574.404000
56,574.404000
57,574.404000
58,574.404000
59,574.404000
60,574.404000
61,574.404000
62,574.404000
63,574.404000
64,574.404000
65,574.404000
66,574.404000
67,574.404000
68,574.404000
69,574.404000
70,574.404000
71,574.404000
72,574.404000
73,574.404000
74,574.404000
75,574.404000
76,574.404000
77,574.404000
78,574.404000
79,574.404000
80,574.404000
81,574.404000
82,574.404000
83,574.404000
84,574.404000
85,574.404000
86,574.404000
87,574.404000
88,574.404000
89,574.404000
90,574.404000
91,574.404000
92,574.404000
93,574.404000
94,574.404000
95,574.404000
96,574.404000
97,574.404000
98,574.404000
99,574.404000
