Iteration,BestFitness
0,508.480000
1,508.480000
2,508.480000
3,508.480000
4,508.480000
5,508.480000
6,508.480000
7,508.480000
8,508.480000
9,508.480000
10,508.480000
11,508.480000
12,508.480000
13,508.480000
14,508.480000
15,508.480000
16,508.480000
17,508.480000
18,508.480000
19,508.480000
20,508.480000
21,508.480000
22,508.480000
23,508.480000
24,508.480000
25,508.480000
26,508.480000
27,508.480000
28,508.480000
29,508.480000
30,508.480000
31,508.480000
32,508.480000
33,508.480000
34,482.246000
35,482.246000
36,482.246000
37,482.246000
38,482.246000
39,482.246000
40,482.246000
41,482.246000
42,482.246000
43,482.246000
44,482.246000
45,482.246000
46,482.246000
47,482.246000
48,482.246000
49,482.246000
50,482.246000
51,482.246000
52,482.246000
53,482.246000
54,482.246000
55,482.246000
56,482.246000
57,482.246000
58,482.246000
59,482.246000
60,482.246000
61,482.246000
62,482.246000
63,482.246000
64,482.246000
65,482.246000
66,482.246000
67,482.246000
68,482.246000
69,482.246000
70,482.246000
71,482.246000
72,482.246000
73,482.246000
74,482.246000
75,482.246000
76,482.246000
77,482.246000
78,482.246000
79,482.246000
80,482.246000
81,482.246000
82,482.246000
83,482.246000
84,482.246000
85,482.246000
86,482.246000
87,482.246000
88,482.246000
89,482.246000
90,482.246000
91,482.246000
92,482.246000
93,482.246000
94,482.246000
95,482.246000
96,482.246000
97,482.246000
98,482.246000
99,482.246000
