Iteration,BestFitness
0,568.554000
1,568.554000
2,568.554000
3,568.554000
4,568.554000
5,568.554000
6,568.554000
7,568.554000
8,568.554000
9,568.554000
10,568.554000
11,568.554000
12,568.554000
13,568.554000
14,568.554000
15,568.554000
16,568.554000
17,568.554000
18,568.554000
19,568.554000
20,568.554000
21,568.554000
22,568.554000
23,568.554000
24,568.554000
25,568.554000
26,568.554000
27,568.554000
28,568.554000
29,568.554000
30,568.554000
31,568.554000
32,568.554000
33,568.554000
34,568.554000
35,568.554000
36,568.554000
37,568.554000
38,568.554000
39,568.554000
40,568.554000
41,568.554000
42,568.554000
43,568.554000
44,568.554000
45,568.554000
46,568.554000
47,568.554000
48,568.554000
49,568.554000
50,568.554000
51,568.554000
52,568.554000
53,568.554000
54,568.554000
55,568.554000
56,568.554000
57,568.554000
58,568.554000
59,568.554000
60,568.554000
61,568.554000
62,568.554000
63,568.554000
64,568.554000
65,568.554000
66,568.554000
67,568.554000
68,568.554000
69,568.554000
70,568.554000
71,568.554000
72,568.554000
73,568.554000
74,568.554000
75,568.554000
76,568.554000
77,568.554000
78,568.554000
79,568.554000
80,568.554000
81,568.554000
82,568.554000
83,568.554000
84,568.554000
85,568.554000
86,568.554000
87,568.554000
88,568.554000
89,568.554000
90,568.554000
91,568.554000
92,568.554000
93,568.554000
94,568.554000
95,568.554000
96,568.554000
97,568.554000
98,568.554000
99,568.554000
