Iteration,BestFitness
0,480.480000
1,461.684000
2,461.684000
3,455.824000
4,455.824000
5,455.824000
6,455.824000
7,455.824000
8,455.824000
9,445.948000
10,445.948000
11,445.948000
12,445.948000
13,445.948000
14,445.948000
15,445.948000
16,445.948000
17,445.948000
18,445.948000
19,445.948000
20,445.948000
21,445.948000
22,445.948000
23,445.948000
24,445.948000
25,445.948000
26,445.948000
27,422.598000
28,422.598000
29,422.598000
30,422.598000
31,422.598000
32,422.598000
33,422.598000
34,422.598000
35,422.598000
36,414.468000
37,414.468000
38,414.468000
39,414.468000
40,414.468000
41,414.468000
42,414.468000
43,414.468000
44,414.468000
45,414.468000
46,414.468000
47,414.468000
48,414.468000
49,414.468000
50,414.468000
51,414.468000
52,414.468000
53,414.468000
54,414.468000
55,414.468000
56,414.468000
57,414.468000
58,414.468000
59,414.468000
60,414.468000
61,414.468000
62,414.468000
63,414.468000
64,414.468000
65,414.468000
66,414.468000
67,414.468000
68,414.468000
69,414.468000
70,414.468000
71,414.468000
72,414.468000
73,414.468000
74,414.468000
75,414.468000
76,414.468000
77,414.468000
78,414.468000
79,414.468000
80,414.468000
81,414.468000
82,414.468000
83,414.468000
84,414.468000
85,414.468000
86,414.468000
87,414.468000
88,414.468000
89,414.468000
90,414.468000
91,414.468000
92,414.468000
93,414.468000
94,414.468000
95,414.468000
96,414.468000
97,414.468000
98,414.468000
99,414.468000
