Function,Algorithm,Run,Fitness
Sphere,CBO,29,0.000000e+00
Sphere,CBO,30,0.000000e+00
Sphere,ICBO,1,6.151199e-196
Sphere,ICBO,2,6.239306e-196
Sphere,ICBO,3,7.369815e-196
Sphere,ICBO,4,9.521107e-196
Sphere,ICBO,5,5.803375e-196
Sphere,ICBO,6,5.247843e-196
Sphere,ICBO,7,1.077636e-195
Sphere,ICBO,8,5.814621e-196
Sphere,ICBO,9,7.140038e-196
Sphere,ICBO,10,7.964008e-196
Sphere,ICBO,11,1.064461e-195
Sphere,ICBO,12,7.716430e-196
Sphere,ICBO,13,1.196453e-195
Sphere,ICBO,14,1.027542e-195
Sphere,ICBO,15,1.199814e-195
Sphere,ICBO,16,1.048852e-195
Sphere,ICBO,17,7.426625e-196
Sphere,ICBO,18,7.945831e-196
Sphere,ICBO,19,1.084599e-195
Sphere,ICBO,20,7.730835e-196
Sphere,ICBO,21,2.106157e-195
Sphere,ICBO,22,7.263939e-196
Sphere,ICBO,23,7.756242e-196
Sphere,ICBO,24,4.165007e-196
Sphere,ICBO,25,7.799797e-196
Sphere,ICBO,26,9.601436e-196
Sphere,ICBO,27,6.257296e-196
Sphere,ICBO,28,1.039475e-195
Sphere,ICBO,29,1.010553e-195
Sphere,ICBO,30,1.159338e-195
Sphere,ICBO-Enhanced,1,0.000000e+00
Sphere,ICBO-Enhanced,2,0.000000e+00
Sphere,ICBO-Enhanced,3,0.000000e+00
Sphere,ICBO-Enhanced,4,0.000000e+00
Sphere,ICBO-Enhanced,5,0.000000e+00
Sphere,ICBO-Enhanced,6,0.000000e+00
Sphere,ICBO-Enhanced,7,0.000000e+00
Sphere,ICBO-Enhanced,8,0.000000e+00
Sphere,ICBO-Enhanced,9,0.000000e+00
Sphere,ICBO-Enhanced,10,0.000000e+00
Sphere,ICBO-Enhanced,11,0.000000e+00
Sphere,ICBO-Enhanced,12,0.000000e+00
Sphere,ICBO-Enhanced,13,0.000000e+00
Sphere,ICBO-Enhanced,14,0.000000e+00
Sphere,ICBO-Enhanced,15,0.000000e+00
Sphere,ICBO-Enhanced,16,0.000000e+00
Sphere,ICBO-Enhanced,17,0.000000e+00
Sphere,ICBO-Enhanced,18,0.000000e+00
Sphere,ICBO-Enhanced,19,0.000000e+00
Sphere,ICBO-Enhanced,20,0.000000e+00
Sphere,ICBO-Enhanced,21,0.000000e+00
Sphere,ICBO-Enhanced,22,0.000000e+00
Sphere,ICBO-Enhanced,23,0.000000e+00
Sphere,ICBO-Enhanced,24,0.000000e+00
Sphere,ICBO-Enhanced,25,0.000000e+00
Sphere,ICBO-Enhanced,26,0.000000e+00
Sphere,ICBO-Enhanced,27,0.000000e+00
Sphere,ICBO-Enhanced,28,0.000000e+00
Sphere,ICBO-Enhanced,29,0.000000e+00
Sphere,ICBO-Enhanced,30,0.000000e+00
Sphere,EDCBO-Fixed,1,1.196204e-06
Sphere,EDCBO-Fixed,2,7.738646e-07
Sphere,EDCBO-Fixed,3,9.115141e-07
Sphere,EDCBO-Fixed,4,8.384541e-07
Sphere,EDCBO-Fixed,5,6.778124e-07
Sphere,EDCBO-Fixed,6,5.465898e-07
Sphere,EDCBO-Fixed,7,1.191173e-06
Sphere,EDCBO-Fixed,8,3.724578e-07
Sphere,EDCBO-Fixed,9,9.278094e-07
Sphere,EDCBO-Fixed,10,9.940675e-07
Sphere,EDCBO-Fixed,11,6.389089e-07
Sphere,EDCBO-Fixed,12,6.565691e-07
Sphere,EDCBO-Fixed,13,7.821185e-07
Sphere,EDCBO-Fixed,14,9.663318e-07
Sphere,EDCBO-Fixed,15,4.955198e-07
Sphere,EDCBO-Fixed,16,8.449508e-07
Sphere,EDCBO-Fixed,17,9.315815e-07
Sphere,EDCBO-Fixed,18,9.243980e-07
Sphere,EDCBO-Fixed,19,1.319138e-06
Sphere,EDCBO-Fixed,20,7.987394e-07
Sphere,EDCBO-Fixed,21,7.369330e-07
Sphere,EDCBO-Fixed,22,4.970869e-07
Sphere,EDCBO-Fixed,23,9.877909e-07
Sphere,EDCBO-Fixed,24,5.093220e-07
Sphere,EDCBO-Fixed,25,6.803526e-07
Sphere,EDCBO-Fixed,26,1.076402e-06
Sphere,EDCBO-Fixed,27,5.086336e-07
Sphere,EDCBO-Fixed,28,5.173226e-07
Sphere,EDCBO-Fixed,29,4.729296e-07
Sphere,EDCBO-Fixed,30,1.008498e-06
Sum Squares,Random,1,5.215829e+03
Sum Squares,Random,2,6.137154e+03
Sum Squares,Random,3,5.345256e+03
Sum Squares,Random,4,5.360344e+03
Sum Squares,Random,5,5.352071e+03
Sum Squares,Random,6,5.535908e+03
Sum Squares,Random,7,5.824811e+03
Sum Squares,Random,8,5.703621e+03
Sum Squares,Random,9,4.865667e+03
Sum Squares,Random,10,5.936683e+03
Sum Squares,Random,11,5.471607e+03
Sum Squares,Random,12,5.612405e+03
Sum Squares,Random,13,5.427693e+03
Sum Squares,Random,14,5.906098e+03
Sum Squares,Random,15,5.223767e+03
Sum Squares,Random,16,5.567857e+03
Sum Squares,Random,17,5.593571e+03
Sum Squares,Random,18,6.273490e+03
Sum Squares,Random,19,5.549556e+03
Sum Squares,Random,20,5.644985e+03
Sum Squares,Random,21,5.517562e+03
Sum Squares,Random,22,4.781871e+03
Sum Squares,Random,23,4.930211e+03
Sum Squares,Random,24,5.660789e+03
Sum Squares,Random,25,4.733887e+03
Sum Squares,Random,26,5.076282e+03
Sum Squares,Random,27,6.025218e+03
Sum Squares,Random,28,5.976788e+03
Sum Squares,Random,29,5.638564e+03
Sum Squares,Random,30,6.022434e+03
Sum Squares,PSO,1,3.244934e-17
Sum Squares,PSO,2,1.968365e-18
Sum Squares,PSO,3,8.126047e-19
Sum Squares,PSO,4,6.206294e-18
Sum Squares,PSO,5,1.344223e-20
Sum Squares,PSO,6,5.713928e-21
Sum Squares,PSO,7,1.833826e-21
Sum Squares,PSO,8,1.683962e-19
Sum Squares,PSO,9,6.334603e-21
Sum Squares,PSO,10,4.462804e-20
Sum Squares,PSO,11,1.000000e+02
Sum Squares,PSO,12,2.296400e-17
Sum Squares,PSO,13,2.632543e-19
Sum Squares,PSO,14,8.202378e-21
Sum Squares,PSO,15,1.021070e-20
Sum Squares,PSO,16,9.195700e-22
Sum Squares,PSO,17,1.674288e-21
Sum Squares,PSO,18,9.948028e-21
Sum Squares,PSO,19,1.560215e-18
Sum Squares,PSO,20,5.839882e-18
Sum Squares,PSO,21,9.314897e-23
Sum Squares,PSO,22,1.470484e-12
Sum Squares,PSO,23,1.788153e-18
Sum Squares,PSO,24,6.655924e-22
Sum Squares,PSO,25,1.559410e-18
Sum Squares,PSO,26,3.890424e-17
Sum Squares,PSO,27,5.635113e-18
Sum Squares,PSO,28,8.019155e-17
Sum Squares,PSO,29,4.335898e-23
Sum Squares,PSO,30,3.000000e+02
Sum Squares,GWO,1,3.468038e-168
Sum Squares,GWO,2,7.675639e-166
Sum Squares,GWO,3,2.339367e-168
Sum Squares,GWO,4,3.538433e-167
Sum Squares,GWO,5,9.203313e-167
Sum Squares,GWO,6,9.440082e-169
Sum Squares,GWO,7,1.006754e-165
Sum Squares,GWO,8,1.371922e-166
Sum Squares,GWO,9,5.141554e-165
Sum Squares,GWO,10,5.912486e-167
Sum Squares,GWO,11,5.651908e-167
Sum Squares,GWO,12,3.665630e-167
Sum Squares,GWO,13,9.953154e-168
Sum Squares,GWO,14,2.665483e-168
Sum Squares,GWO,15,2.546084e-167
Sum Squares,GWO,16,7.270213e-164
Sum Squares,GWO,17,3.079940e-163
Sum Squares,GWO,18,1.529957e-165
Sum Squares,GWO,19,1.472114e-165
Sum Squares,GWO,20,5.630485e-166
Sum Squares,GWO,21,7.945603e-168
Sum Squares,GWO,22,4.711645e-166
Sum Squares,GWO,23,6.506982e-168
Sum Squares,GWO,24,5.630781e-167
Sum Squares,GWO,25,1.546377e-165
Sum Squares,GWO,26,5.246593e-166
Sum Squares,GWO,27,1.084826e-164
Sum Squares,GWO,28,3.511091e-167
Sum Squares,GWO,29,2.502981e-168
Sum Squares,GWO,30,7.213301e-168
Sum Squares,WOA,1,9.315443e-221
Sum Squares,WOA,2,6.520605e-220
Sum Squares,WOA,3,3.479006e-217
Sum Squares,WOA,4,7.102969e-221
Sum Squares,WOA,5,8.725434e-213
Sum Squares,WOA,6,4.073355e-217
Sum Squares,WOA,7,8.281145e-229
Sum Squares,WOA,8,7.678091e-228
Sum Squares,WOA,9,2.716090e-219
Sum Squares,WOA,10,5.847345e-215
Sum Squares,WOA,11,6.655194e-213
Sum Squares,WOA,12,1.763955e-220
Sum Squares,WOA,13,8.514516e-223
Sum Squares,WOA,14,2.507425e-220
Sum Squares,WOA,15,2.780422e-226
Sum Squares,WOA,16,1.615359e-225
Sum Squares,WOA,17,6.268547e-217
Sum Squares,WOA,18,2.711769e-216
Sum Squares,WOA,19,1.278109e-221
Sum Squares,WOA,20,5.677211e-222
Sum Squares,WOA,21,2.595968e-222
Sum Squares,WOA,22,2.598213e-219
Sum Squares,WOA,23,6.608715e-223
Sum Squares,WOA,24,8.209385e-221
Sum Squares,WOA,25,3.238367e-221
Sum Squares,WOA,26,9.944982e-220
Sum Squares,WOA,27,2.116252e-220
Sum Squares,WOA,28,2.872687e-225
Sum Squares,WOA,29,2.204803e-225
Sum Squares,WOA,30,1.110560e-220
Sum Squares,CBO,1,0.000000e+00
Sum Squares,CBO,2,0.000000e+00
Sum Squares,CBO,3,0.000000e+00
Sum Squares,CBO,4,0.000000e+00
Sum Squares,CBO,5,0.000000e+00
Sum Squares,CBO,6,0.000000e+00
Sum Squares,CBO,7,0.000000e+00
Sum Squares,CBO,8,0.000000e+00
Sum Squares,CBO,9,0.000000e+00
Sum Squares,CBO,10,0.000000e+00
Sum Squares,CBO,11,0.000000e+00
Sum Squares,CBO,12,0.000000e+00
Sum Squares,CBO,13,0.000000e+00
Sum Squares,CBO,14,0.000000e+00
Sum Squares,CBO,15,0.000000e+00
Sum Squares,CBO,16,0.000000e+00
Sum Squares,CBO,17,0.000000e+00
Sum Squares,CBO,18,0.000000e+00
Sum Squares,CBO,19,0.000000e+00
Sum Squares,CBO,20,0.000000e+00
Sum Squares,CBO,21,0.000000e+00
Sum Squares,CBO,22,0.000000e+00
Sum Squares,CBO,23,0.000000e+00
Sum Squares,CBO,24,0.000000e+00
Sum Squares,CBO,25,0.000000e+00
Sum Squares,CBO,26,0.000000e+00
Sum Squares,CBO,27,0.000000e+00
Sum Squares,CBO,28,0.000000e+00
Sum Squares,CBO,29,0.000000e+00
Sum Squares,CBO,30,0.000000e+00
Sum Squares,ICBO,1,1.331310e-196
Sum Squares,ICBO,2,1.072784e-196
Sum Squares,ICBO,3,9.795738e-197
Sum Squares,ICBO,4,1.220721e-196
Sum Squares,ICBO,5,7.539497e-197
Sum Squares,ICBO,6,5.502794e-197
Sum Squares,ICBO,7,1.036506e-196
Sum Squares,ICBO,8,1.075413e-196
Sum Squares,ICBO,9,1.525796e-196
Sum Squares,ICBO,10,1.043089e-196
Sum Squares,ICBO,11,2.151659e-196
Sum Squares,ICBO,12,1.584105e-196
Sum Squares,ICBO,13,1.547523e-196
Sum Squares,ICBO,14,1.084844e-196
Sum Squares,ICBO,15,1.497080e-196
Sum Squares,ICBO,16,1.042740e-196
Sum Squares,ICBO,17,4.602376e-197
Sum Squares,ICBO,18,1.064162e-196
Sum Squares,ICBO,19,1.480520e-196
Sum Squares,ICBO,20,5.047070e-197
Sum Squares,ICBO,21,1.937017e-196
Sum Squares,ICBO,22,1.145531e-196
Sum Squares,ICBO,23,1.219975e-196
Sum Squares,ICBO,24,9.757285e-197
Sum Squares,ICBO,25,1.746406e-196
Sum Squares,ICBO,26,1.525683e-196
Sum Squares,ICBO,27,8.901932e-197
Sum Squares,ICBO,28,2.337232e-196
Sum Squares,ICBO,29,1.075904e-196
Sum Squares,ICBO,30,1.648079e-196
Sum Squares,ICBO-Enhanced,1,0.000000e+00
Sum Squares,ICBO-Enhanced,2,0.000000e+00
Sum Squares,ICBO-Enhanced,3,0.000000e+00
Sum Squares,ICBO-Enhanced,4,0.000000e+00
Sum Squares,ICBO-Enhanced,5,0.000000e+00
Sum Squares,ICBO-Enhanced,6,0.000000e+00
Sum Squares,ICBO-Enhanced,7,0.000000e+00
Sum Squares,ICBO-Enhanced,8,0.000000e+00
Sum Squares,ICBO-Enhanced,9,0.000000e+00
Sum Squares,ICBO-Enhanced,10,0.000000e+00
Sum Squares,ICBO-Enhanced,11,0.000000e+00
Sum Squares,ICBO-Enhanced,12,0.000000e+00
Sum Squares,ICBO-Enhanced,13,0.000000e+00
Sum Squares,ICBO-Enhanced,14,0.000000e+00
Sum Squares,ICBO-Enhanced,15,0.000000e+00
Sum Squares,ICBO-Enhanced,16,0.000000e+00
Sum Squares,ICBO-Enhanced,17,0.000000e+00
Sum Squares,ICBO-Enhanced,18,0.000000e+00
Sum Squares,ICBO-Enhanced,19,0.000000e+00
Sum Squares,ICBO-Enhanced,20,0.000000e+00
Sum Squares,ICBO-Enhanced,21,0.000000e+00
Sum Squares,ICBO-Enhanced,22,0.000000e+00
Sum Squares,ICBO-Enhanced,23,0.000000e+00
Sum Squares,ICBO-Enhanced,24,0.000000e+00
Sum Squares,ICBO-Enhanced,25,0.000000e+00
Sum Squares,ICBO-Enhanced,26,0.000000e+00
Sum Squares,ICBO-Enhanced,27,0.000000e+00
Sum Squares,ICBO-Enhanced,28,0.000000e+00
Sum Squares,ICBO-Enhanced,29,0.000000e+00
Sum Squares,ICBO-Enhanced,30,0.000000e+00
Sum Squares,EDCBO-Fixed,1,4.274709e-06
Sum Squares,EDCBO-Fixed,2,1.222837e-05
Sum Squares,EDCBO-Fixed,3,9.165305e-06
Sum Squares,EDCBO-Fixed,4,8.249053e-06
Sum Squares,EDCBO-Fixed,5,1.078493e-05
Sum Squares,EDCBO-Fixed,6,7.760918e-06
Sum Squares,EDCBO-Fixed,7,1.374046e-05
Sum Squares,EDCBO-Fixed,8,1.009334e-05
Sum Squares,EDCBO-Fixed,9,6.252779e-06
Sum Squares,EDCBO-Fixed,10,9.913371e-06
Sum Squares,EDCBO-Fixed,11,6.779609e-06
Sum Squares,EDCBO-Fixed,12,6.235680e-06
Sum Squares,EDCBO-Fixed,13,4.118991e-06
Sum Squares,EDCBO-Fixed,14,9.289927e-06
Sum Squares,EDCBO-Fixed,15,7.132790e-06
Sum Squares,EDCBO-Fixed,16,1.422554e-05
Sum Squares,EDCBO-Fixed,17,8.446918e-06
Sum Squares,EDCBO-Fixed,18,8.727649e-06
Sum Squares,EDCBO-Fixed,19,5.718911e-06
Sum Squares,EDCBO-Fixed,20,1.560303e-05
Sum Squares,EDCBO-Fixed,21,7.761074e-06
Sum Squares,EDCBO-Fixed,22,8.861461e-06
Sum Squares,EDCBO-Fixed,23,5.777661e-06
Sum Squares,EDCBO-Fixed,24,1.461078e-05
Sum Squares,EDCBO-Fixed,25,2.357178e-05
