Iteration,BestFitness
0,1493.193548
1,1493.193548
2,1491.299320
3,1491.299320
4,1491.299320
5,1491.299320
6,1491.299320
7,1491.299320
8,1491.299320
9,1491.299320
10,1491.299320
11,1491.299320
12,1370.139535
13,1370.139535
14,1370.139535
15,1370.139535
16,1370.139535
17,1370.139535
18,1370.139535
19,1370.139535
20,1370.139535
21,1370.139535
22,1370.139535
23,1370.139535
24,1370.139535
25,1370.139535
26,1370.139535
27,1370.139535
28,1370.139535
29,1370.139535
30,1370.139535
31,1370.139535
32,1370.139535
33,1370.139535
34,1370.139535
35,1370.139535
36,1370.139535
37,1370.139535
38,1370.139535
39,1370.139535
40,1370.139535
41,1370.139535
42,1370.139535
43,1370.139535
44,1370.139535
45,1370.139535
46,1370.139535
47,1370.139535
48,1370.139535
49,1370.139535
50,1370.139535
51,1370.139535
52,1370.139535
53,1370.139535
54,1370.139535
55,1370.139535
56,1370.139535
57,1370.139535
58,1370.139535
59,1370.139535
60,1370.139535
61,1370.139535
62,1370.139535
63,1370.139535
64,1370.139535
65,1370.139535
66,1370.139535
67,1370.139535
68,1370.139535
69,1370.139535
70,1370.139535
71,1370.139535
72,1370.139535
73,1370.139535
74,1370.139535
75,1370.139535
76,1370.139535
77,1370.139535
78,1370.139535
79,1370.139535
80,1370.139535
81,1370.139535
82,1370.139535
83,1370.139535
84,1370.139535
85,1370.139535
86,1370.139535
87,1370.139535
88,1370.139535
89,1370.139535
90,1370.139535
91,1370.139535
92,1370.139535
93,1370.139535
94,1370.139535
95,1370.139535
96,1370.139535
97,1370.139535
98,1370.139535
99,1370.139535
