Iteration,BestFitness
0,1514.838983
1,1514.838983
2,1514.838983
3,1514.838983
4,1514.838983
5,1514.838983
6,1514.838983
7,1514.838983
8,1514.838983
9,1514.838983
10,1514.838983
11,1514.838983
12,1514.838983
13,1509.575419
14,1509.575419
15,1509.575419
16,1422.740000
17,1422.740000
18,1422.740000
19,1422.740000
20,1422.740000
21,1422.740000
22,1422.740000
23,1422.740000
24,1422.740000
25,1422.740000
26,1422.740000
27,1422.740000
28,1422.740000
29,1422.740000
30,1422.740000
31,1422.740000
32,1422.740000
33,1422.740000
34,1422.740000
35,1422.740000
36,1422.740000
37,1422.740000
38,1422.740000
39,1422.740000
40,1422.740000
41,1422.740000
42,1422.740000
43,1422.740000
44,1422.740000
45,1422.740000
46,1422.740000
47,1422.740000
48,1422.740000
49,1422.740000
50,1422.740000
51,1422.740000
52,1422.740000
53,1422.740000
54,1422.740000
55,1422.740000
56,1422.740000
57,1422.740000
58,1422.740000
59,1422.740000
60,1422.740000
61,1422.740000
62,1422.740000
63,1422.740000
64,1422.740000
65,1422.740000
66,1422.740000
67,1422.740000
68,1422.740000
69,1422.740000
70,1422.740000
71,1422.740000
72,1422.740000
73,1422.740000
74,1422.740000
75,1422.740000
76,1422.740000
77,1422.740000
78,1422.740000
79,1422.740000
80,1422.740000
81,1422.740000
82,1422.740000
83,1422.740000
84,1422.740000
85,1422.740000
86,1422.740000
87,1422.740000
88,1422.740000
89,1422.740000
90,1422.740000
91,1422.740000
92,1422.740000
93,1422.740000
94,1422.740000
95,1422.740000
96,1422.740000
97,1422.740000
98,1422.740000
99,1422.740000
