Iteration,BestFitness
0,1146.190476
1,1111.664430
2,1111.664430
3,1014.751634
4,995.542466
5,995.542466
6,995.542466
7,995.542466
8,995.542466
9,995.542466
10,995.542466
11,995.542466
12,995.542466
13,995.542466
14,995.542466
15,995.542466
16,921.659389
17,921.659389
18,921.659389
19,921.659389
20,921.659389
21,921.659389
22,921.659389
23,921.659389
24,921.659389
25,916.163399
26,916.163399
27,916.163399
28,916.163399
29,916.163399
30,916.163399
31,876.809524
32,876.809524
33,876.809524
34,876.809524
35,876.809524
36,876.809524
37,876.809524
38,876.809524
39,876.809524
40,876.809524
41,876.809524
42,876.809524
43,876.809524
44,876.809524
45,876.809524
46,876.809524
47,876.809524
48,876.809524
49,876.809524
50,876.809524
51,876.809524
52,876.809524
53,876.809524
54,876.809524
55,876.809524
56,876.809524
57,876.809524
58,876.809524
59,876.809524
60,876.809524
61,876.809524
62,876.809524
63,876.809524
64,876.809524
65,876.809524
66,876.809524
67,876.809524
68,876.809524
69,876.809524
70,876.809524
71,876.809524
72,876.809524
73,876.809524
74,876.809524
75,876.809524
76,876.809524
77,876.809524
78,876.809524
79,876.809524
80,876.809524
81,876.809524
82,876.809524
83,876.809524
84,876.809524
85,876.809524
86,876.809524
87,876.809524
88,876.809524
89,876.809524
90,876.809524
91,876.809524
92,876.809524
93,876.809524
94,876.809524
95,876.809524
96,876.809524
97,876.809524
98,876.809524
99,876.809524
