Iteration,BestFitness
0,2039.803797
1,2039.803797
2,2039.803797
3,2039.803797
4,2039.803797
5,2039.803797
6,2039.803797
7,2039.803797
8,2039.803797
9,2039.803797
10,2039.803797
11,2039.803797
12,2039.803797
13,2039.803797
14,2039.803797
15,2039.803797
16,2039.803797
17,2039.803797
18,2039.803797
19,2039.803797
20,2039.803797
21,2039.803797
22,2039.803797
23,2039.803797
24,2039.803797
25,2039.803797
26,2039.803797
27,2039.803797
28,2039.803797
29,2039.803797
30,2039.803797
31,2039.803797
32,2039.803797
33,2039.803797
34,2039.803797
35,2039.803797
36,2039.803797
37,2039.803797
38,2039.803797
39,2039.803797
40,2039.803797
41,2039.803797
42,2039.803797
43,2039.803797
44,2039.803797
45,2039.803797
46,2039.803797
47,2039.803797
48,2039.803797
49,2039.803797
50,2039.803797
51,2039.803797
52,2039.803797
53,2039.803797
54,2039.803797
55,2039.803797
56,2039.803797
57,2039.803797
58,2039.803797
59,2039.803797
60,2039.803797
61,2039.803797
62,2039.803797
63,2039.803797
64,2039.803797
65,2039.803797
66,2039.803797
67,2039.803797
68,2039.803797
69,2039.803797
70,2039.803797
71,2039.803797
72,2039.803797
73,2039.803797
74,2039.803797
75,2039.803797
76,2039.803797
77,2039.803797
78,2039.803797
79,2039.803797
80,2039.803797
81,2039.803797
82,2039.803797
83,2039.803797
84,2039.803797
85,2039.803797
86,2039.803797
87,2039.803797
88,2039.803797
89,2039.803797
90,1998.481481
91,1998.481481
92,1998.481481
93,1998.481481
94,1998.481481
95,1998.481481
96,1998.481481
97,1998.481481
98,1998.481481
99,1998.481481
