Iteration,BestFitness
0,306.926000
1,286.220000
2,286.220000
3,286.220000
4,286.220000
5,286.220000
6,286.220000
7,286.220000
8,286.220000
9,283.592000
10,283.592000
11,283.592000
12,283.592000
13,283.592000
14,263.495000
15,263.495000
16,263.495000
17,263.495000
18,263.495000
19,263.495000
20,263.495000
21,263.495000
22,263.495000
23,263.495000
24,263.495000
25,263.495000
26,263.495000
27,263.495000
28,263.495000
29,263.495000
30,263.495000
31,263.495000
32,263.495000
33,263.495000
34,263.495000
35,263.495000
36,263.495000
37,263.495000
38,263.495000
39,263.495000
40,263.495000
41,263.495000
42,263.495000
43,263.495000
44,263.495000
45,263.495000
46,263.495000
47,263.495000
48,263.495000
49,263.495000
50,263.495000
51,263.495000
52,263.495000
53,263.495000
54,263.495000
55,263.495000
56,263.495000
57,263.495000
58,263.495000
59,263.495000
60,263.495000
61,263.495000
62,263.495000
63,263.495000
64,263.495000
65,263.495000
66,263.495000
67,263.495000
68,263.495000
69,263.495000
70,263.495000
71,263.495000
72,263.495000
73,263.495000
74,263.495000
75,263.495000
76,263.495000
77,263.495000
78,263.495000
79,263.495000
80,263.495000
81,263.495000
82,263.495000
83,263.495000
84,263.495000
85,263.495000
86,263.495000
87,263.495000
88,263.495000
89,263.495000
90,263.495000
91,263.495000
92,263.495000
93,263.495000
94,263.495000
95,263.495000
96,263.495000
97,263.495000
98,263.495000
99,263.495000
