Iteration,BestFitness
0,530.916000
1,530.916000
2,496.594000
3,496.594000
4,496.594000
5,496.594000
6,496.594000
7,496.594000
8,496.594000
9,496.594000
10,496.594000
11,496.594000
12,496.594000
13,496.594000
14,496.594000
15,496.594000
16,496.594000
17,496.594000
18,496.594000
19,496.594000
20,496.594000
21,496.594000
22,496.594000
23,496.594000
24,496.594000
25,496.594000
26,496.594000
27,496.594000
28,496.594000
29,496.594000
30,496.594000
31,496.594000
32,496.594000
33,496.594000
34,496.594000
35,496.594000
36,496.594000
37,496.594000
38,496.594000
39,496.594000
40,496.594000
41,496.594000
42,496.594000
43,496.594000
44,496.594000
45,496.594000
46,496.594000
47,496.594000
48,496.594000
49,496.594000
50,496.594000
51,496.594000
52,496.594000
53,496.594000
54,496.594000
55,496.594000
56,496.594000
57,496.594000
58,496.594000
59,496.594000
60,496.594000
61,496.594000
62,496.594000
63,496.594000
64,496.594000
65,496.594000
66,496.594000
67,496.594000
68,496.594000
69,496.594000
70,496.594000
71,496.594000
72,496.594000
73,496.594000
74,496.594000
75,496.594000
76,496.594000
77,496.594000
78,496.594000
79,496.594000
80,496.594000
81,496.594000
82,496.594000
83,496.594000
84,496.594000
85,496.594000
86,496.594000
87,496.594000
88,496.594000
89,496.594000
90,496.594000
91,496.594000
92,496.594000
93,496.594000
94,496.594000
95,496.594000
96,496.594000
97,496.594000
98,496.594000
99,496.594000
